Region,Period Begin,Period End,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Price,months_of_supply,New Listings,Period Duration,Price Drops,Sold Above List
"Washington, DC",11/1/2016,11/30/2016,0.996939369,737,1559,17,524000,2.1,745,30,0.237331623,0.352781547
"San Diego, CA",2/1/2017,2/28/2017,0.985037757,1000,1878,25,553950,1.9,1356,30,0.192758253,0.248
"San Francisco, CA",2/1/2018,2/28/2018,1.088558606,313,637,17,1295000,2,535,30,0.095761381,0.693290735
"Los Angeles, CA",4/1/2017,4/30/2017,1.004753316,2319,6933,34,689949.5,3,3332,30,0.148564835,0.45105649
"San Jose, CA",3/1/2018,3/31/2018,1.12968406,678,376,9,977777.5,0.6,832,30,0.135638298,0.861356932
"Los Angeles, CA",8/1/2015,8/31/2015,1.000271291,2576,6535,23,580000,2.5,3332,30,0.231522571,0.402950311
"Chicago, IL",5/1/2017,5/31/2017,0.987599614,3069,12166,52,295000,4,4259,30,0.194887391,0.276637341
"San Jose, CA",7/1/2013,7/31/2013,1.044483335,907,1350,12,599950,1.5,1173,30,0.204444444,0.733186329
"Seattle, WA",4/1/2014,4/30/2014,1.014749327,968,1337,10,443995,1.4,1230,30,0.267015707,0.453512397
"Chicago, IL",10/1/2015,10/31/2015,0.975828839,2996,12593,68,239900,4.2,3171,30,0.217978242,0.227970628
"Chicago, IL",5/1/2016,5/31/2016,0.983280536,3230,12702,56,284900,3.9,4769,30,0.179499291,0.269040248
"San Diego, CA",10/1/2015,10/31/2015,0.978363314,1308,3016,31,510000,2.3,1420,30,0.296419098,0.178270849
"Boston, MA",1/1/2017,1/31/2017,0.991963137,367,669,30,649000,1.8,444,30,0.20328849,0.340599455
"Chicago, IL",3/1/2013,3/31/2013,0.971556655,1970,12327,95,224000,6.3,3799,30,0.145290825,0.275774505
"Seattle, WA",9/1/2016,9/30/2016,1.020896664,1184,1363,9,584995,1.2,1385,30,0.294937638,0.429898649
"San Francisco, CA",12/1/2015,12/31/2015,1.074801282,502,317,20,998900,0.6,148,30,0.09148265,0.677290837
"Seattle, WA",12/1/2017,12/31/2017,1.025305934,873,383,10,650000,0.4,358,30,0.15926893,0.445852535
"San Diego, CA",6/1/2014,6/30/2014,0.979972013,1419,3608,23,515000,2.5,1915,30,0.298226164,0.202959831
"San Francisco, CA",12/1/2017,12/31/2017,1.076915197,419,365,32,1171500,0.9,134,30,0.076712329,0.629186603
"Washington, DC",6/1/2012,6/30/2012,0.987831626,755,1803,24,425000,2.4,837,30,0.217415419,0.237400531
"Washington, DC",7/1/2017,7/31/2017,1.002857074,937,1613,14,524555,1.7,864,30,0.269683819,0.399146211
"Los Angeles, CA",8/1/2013,8/31/2013,1.007033119,3113,5782,17,495000,1.9,3541,30,0.269975787,0.482814006
"Washington, DC",11/1/2013,11/30/2013,0.997880192,615,1491,17,439700,2.4,670,30,0.244802146,0.312195122
"San Francisco, CA",11/1/2012,11/30/2012,1.048754509,568,738,17,799000,1.3,415,30,0.170731707,0.616197183
"San Diego, CA",1/1/2013,1/31/2013,0.98895556,1046,1983,22,415444,1.9,1455,30,0.216843167,0.326959847
"Washington, DC",3/1/2018,3/31/2018,1.000155764,888,1627,29,586500,1.8,1170,30,0.202212661,0.333333333
"San Diego, CA",12/1/2012,12/31/2012,0.988617233,1464,1954,25,385000,1.3,879,30,0.178607984,0.322624744
"San Jose, CA",1/1/2018,1/31/2018,1.096163984,376,324,11,942500,0.9,542,30,0.052469136,0.829787234
"Seattle, WA",11/1/2014,11/30/2014,0.997119586,794,1280,19,449950,1.6,593,30,0.2765625,0.278688525
"San Diego, CA",8/1/2017,8/31/2017,0.987985137,1520,2434,16,580000,1.6,1682,30,0.300739523,0.323026316
"San Francisco, CA",6/1/2015,6/30/2015,1.126741461,559,561,14,1057113,1,604,30,0.144385027,0.783542039
"Washington, DC",5/1/2012,5/31/2012,0.987284226,683,1807,28,434500,2.6,875,30,0.236856669,0.231332357
National,7/1/2014,7/31/2014,0.979368079,245727,865030,46,253300,3.5,285194,30,0.174544235,0.198636953
"Los Angeles, CA",2/1/2015,2/28/2015,0.988552055,1783,5693,39,569000,3.2,2984,30,0.192341472,0.298373528
"San Diego, CA",10/1/2013,10/31/2013,0.983214642,1384,3347,27,444950,2.4,1558,30,0.294592172,0.25650289
"Washington, DC",5/1/2015,5/31/2015,1.004026913,782,1495,12,530000,1.9,1083,30,0.248829431,0.418158568
